tool_slug,market_code,query_text,intent_fit,competition_strength,localization_gap,representative_domain,representative_url,representative_title,observation,observed_at
invoice-generator,BR,gerador de faturas,5,5,2,shopify.com,https://www.shopify.com/br/ferramentas/gerador-de-fatura,Gerador de fatura grátis da Shopify,"明确工具意图；Shopify 和 Microsoft 等高权重品牌已有葡语落地页，仍可用巴西税务与 Pix 场景差异化。",2026-07-17
pdf-compressor,BR,comprimir PDF,5,5,1,ilovepdf.com.br,https://ilovepdf.com.br/comprimir_pdf/,Comprimir PDF online,"精确工具意图但竞争极强；本地化专站与全球 PDF 套件同时占位。",2026-07-17
image-compressor,BR,comprimir imagem,5,4,2,imagetools.com.br,https://imagetools.com.br/compressor-de-imagem,Compressor de imagem,"已有巴西本地工具与聚合站，差异化需依靠隐私、批量和速度。",2026-07-17
image-resizer,BR,redimensionar imagem,5,5,1,nuvemshop.com.br,https://www.nuvemshop.com.br/ferramentas/redimensionar-imagem,Redimensionar imagem,"Nuvemshop、4utils、Img2Go 等覆盖完整，通用版本不值得优先。",2026-07-17
qr-code-generator,BR,gerador de QR Code,5,4,2,geracodigo.com.br,https://www.geracodigo.com.br/gerador-de-qr-code,Gerador de QR Code,"本地精确匹配工具较多；可研究 Pix、WhatsApp 与品牌模板的组合需求。",2026-07-17
character-counter,BR,contador de caracteres,5,3,3,qmix.com.br,https://qmix.com.br/ferramentas/contador-de-caracteres,Contador de caracteres,"工具意图清晰但商业价值低；结果质量中等，适合作为工具簇补充而非首发产品。",2026-07-17
whatsapp-link-generator,BR,gerador de link WhatsApp,5,5,1,gerarlink.com.br,https://gerarlink.com.br/,Gerador de link WhatsApp,"大量精确匹配巴西站点，需求成立但赛道已拥挤；需要短链、二维码和转化跟踪差异化。",2026-07-17
resume-builder,BR,criador de currículo,5,5,1,geracv.com,https://geracv.com/,Criador de currículo,"本地 ATS、模板和求职品牌竞争强，产品复杂度与信任门槛高。",2026-07-17
json-formatter,BR,formatador JSON,5,3,3,toolspace.com.br,https://www.toolspace.com.br/tools/json-formatter,Formatador JSON,"有葡语工具但本地品牌壁垒弱；隐私、本地处理和错误解释可形成小幅差异。",2026-07-17
password-generator,BR,gerador de senhas,5,4,2,hostgator.com.br,https://www.hostgator.com.br/ferramentas/gerador-de-senhas,Gerador de senhas,"HostGator 与 4utils 等已有强页面，适合作为安全工具簇而非独立获客核心。",2026-07-17
invoice-generator,JP,請求書 作成,5,5,2,jotform.com,https://www.jotform.com/ja/online-invoice-generator/,オンライン請求書作成,"意图成立但日本发票制度与会计 SaaS 深度绑定；通用生成器需要インボイス制度、本地税率和印章场景。",2026-07-17
pdf-compressor,JP,PDF 圧縮,5,5,1,pdf24.org,https://tools.pdf24.org/ja/compress-pdf,PDF 圧縮,"PDF24、Smallpdf、PDF2Go 等全球品牌已完整日语化，竞争极强。",2026-07-17
image-compressor,JP,画像 圧縮,5,4,2,onlineimagecompression.org,https://www.onlineimagecompression.org/ja/,画像圧縮,"多个日语化工具存在，但本地强品牌相对少；只能作为高质量工具簇验证。",2026-07-17
image-resizer,JP,画像 サイズ変更,5,5,1,adobe.com,https://www.adobe.com/jp/express/feature/image/resize,画像サイズ変更,"Adobe Express 与全球图片工具占位，通用功能难以突破。",2026-07-17
qr-code-generator,JP,QRコード 作成,5,4,1,qrcode-maker.jp,https://qrcode-maker.jp/,QRコード作成,"日本本地专站和企业工具成熟，简单静态 QR 竞争强。",2026-07-17
character-counter,JP,文字数 カウント,5,5,1,mojisu.org,https://www.mojisu.org/japanese,日本語文字数カウント,"大量日本专用字符计数站，且会处理全角、半角和稿纸等本地规则。",2026-07-17
whatsapp-link-generator,JP,WhatsApp リンク 作成,1,1,1,,,,"公开结果样本没有形成稳定工具意图；低竞争更可能来自 WhatsApp 在本地不是主流工作流，拒绝该核心词。",2026-07-17
resume-builder,JP,履歴書 作成,5,5,1,j-resume.entori.jp,https://j-resume.entori.jp/,履歴書メーカー,"求人ジャーナル、doda 等本地招聘品牌提供 JIS 履历工具，强本地格式门槛。",2026-07-17
